model,n_queries_used,router_ap50_mean,oracle_ap50_mean,oracle_minus_router_gap
vit-b-32,160,30.23574113572283,43.98266090118694,13.74691976546411
bioclip,160,29.100659261635595,47.21987035689113,18.119211095255533
biocap,160,35.59180236605081,50.51116644209973,14.919364076048922
siglip-vit-b-16,160,36.918913625020686,57.01777778331154,20.09886415829085
