model,ap_baseline,ndcg_baseline,mrr_baseline,ap_filtered,ndcg_filtered,mrr_filtered,delta_ap_filtered_vs_baseline,delta_ndcg_filtered_vs_baseline,delta_mrr_filtered_vs_baseline
siglip-so400m-14-384,42.60766678758922,68.54198666238099,0.6397667815650547,40.986176052241404,66.99871670585358,0.5991629776575496,-1.6214907353478125,-1.5432699565274106,-0.040603803907505176
dinov3-b16,41.85154927834975,66.94242083464076,0.5701652728436264,40.94188065211613,66.30970957184365,0.5849826642461178,-0.9096686262336178,-0.6327112627971019,0.014817391402491387
biocap,40.44612312359852,66.2290196294793,0.5731292562206776,39.535771435660095,65.53773447903694,0.5609741828668634,-0.910351687938423,-0.6912851504423543,-0.012155073353814161
bioclip,39.2270861416359,65.75280655468435,0.5826090238875817,36.58763833476627,63.21592293838907,0.502101403028914,-2.639447806869633,-2.5368836162952846,-0.0805076208586677
siglip-vit-b-16,36.14267493735816,64.1282720557377,0.5766880424792381,36.44878986776598,64.31765497128013,0.5814646380511498,0.3061149304078228,0.18938291554243847,0.004776595571911679
vit-b-32,32.4839574471932,61.06752063853645,0.501104395434817,33.43236195523639,61.68986998205987,0.504552199913618,0.9484045080431898,0.6223493435234175,0.0034478044788009976
