model,ap,ndcg,mrr,n_queries
siglip-so400m-14-384,33.31090912113051,62.07249579923587,0.5579578164490655,160
vit-b-32,30.97602409899387,59.50093326005642,0.4848946121196625,160
biocap,29.934055472070547,58.63058324078395,0.4322850968729446,160
siglip-vit-b-16,29.6883225891584,58.95122271504183,0.49775698019410203,160
bioclip,27.169136126182927,56.354361579317654,0.41873099516921075,160
