model,ap_baseline_top3,ndcg_baseline_top3,mrr_baseline_top3,ap_top8_topk,ndcg_top8_topk,mrr_top8_topk,delta_ap_topk_vs_base,delta_ndcg_topk_vs_base,delta_mrr_topk_vs_base
siglip-so400m-14-384,42.09889002094181,68.03413780860087,0.6300544319861501,38.49968084541569,65.01235529053164,0.5495228339336772,-3.59920917552612,-3.02178251806923,-0.0805315980524729
biocap,40.899926887523534,66.7301026866251,0.6065987414125443,38.42705505713589,64.79525174694733,0.568337649434907,-2.4728718303876462,-1.9348509396777729,-0.038261091977637274
bioclip,38.973834151224686,65.53071687442691,0.5809644683149344,36.64239860857755,63.96353909604674,0.5470323999818092,-2.331435542647135,-1.5671777783801772,-0.03393206833312523
dinov3-b16,35.076927996656096,63.008830906771536,0.5552383754456118,32.71722730762901,60.83115398558495,0.4855839674559787,-2.359700689027086,-2.1776769211865883,-0.06965440798963313
vit-b-32,33.70280310486677,62.172219372745346,0.5387428495116139,32.788913418972214,61.50869402244537,0.5174853738901084,-0.9138896858945529,-0.6635253502999774,-0.021257475621505484
